dataset,metric,batchelor_fastmnn,batchelor_mnn_correct,bbknn,combat,embed_cell_types,embed_cell_types_jittered,geneformer,harmony,harmonypy,liger,mnnpy,no_integration,no_integration_batch,pyliger,scalex,scanorama,scanvi,scgpt_zeroshot,scimilarity,scvi,shuffle_integration,shuffle_integration_by_batch,shuffle_integration_by_cell_type,uce,scgpt_finetuned,scprint,TranscriptFormer,scPRINT-1
dkd,ari,0.7599,0.757,0.7666,0.7673,1,1,0.0024,0.7867,0.7655,0.7463,0.1674,0.5999,0.2884,0.6633,0.6177,0.2302,0.7806,0.7597,0.7103,0.8284,-0.0001,0.0069,0.5604,0.508,,,0.5583042118562515,0.056967291789621274
dkd,asw_batch,0.894,0.799,,0.9123,0.9593,0.9573,0.4736,0.9066,0.905,0.8743,0.8846,0.8913,0.7086,0.8876,0.8582,0.9048,0.9099,0.8888,0.8264,0.9166,0.9426,0.9005,0.9328,0.9286,,,0.8406413793563843,0.8980099558830261
dkd,asw_label,0.6657,0.6657,,0.613,0.9897,0.9897,0.364,0.6466,0.6463,0.6295,0.5027,0.6276,0.5116,0.6284,0.5917,0.5009,0.6334,0.6318,0.7111,0.5754,0.4945,0.4895,0.6276,0.587,,,0.5831259489059448,0.4761052541434765
dkd,cell_cycle_conservation,0.8574,0.8692,,0.7925,0.8104,0.8099,0.0527,0.8495,0.8466,0.6013,0.3797,0.8248,0.8609,0.4286,0.3481,0.3818,0.6302,0.7563,0.6936,0.5349,0.0667,0.0726,0.7069,0.8451,,,0.8708253769010997,0.5441004905390204
dkd,clisi,1,1,0.9622,0.9997,1,1,0.7461,1,1,0.9991,0.8921,0.9998,0.9968,0.9995,0.9939,0.8857,1,0.9994,0.9997,0.9992,0.7301,0.7424,0.9998,0.999,,,0.9999999999999999,0.853180866726461
dkd,graph_connectivity,0.9745,0.9696,0.984,0.9728,1,1,0.0109,0.977,0.9765,0.9628,0.5458,0.9701,0.5229,0.968,0.9278,0.5459,0.9962,0.9631,0.971,0.9812,0.2488,0.2596,0.9703,0.9568,,,0.9638678201335252,0.7060593647246632
dkd,hvg_overlap,,0.4293,,0.6649,,,,,,,0.4056,,,,0.2665,0.2484,,,,,0.6462,1,0.668,,,,,
dkd,ilisi,0.272,0.2893,0.3526,0.1644,0.4348,0.4305,0,0.333,0.3319,0.4223,0.1732,0.0754,0.0076,0.4235,0.3097,0.2657,0.3153,0.2272,0.2297,0.303,0.4782,0.0755,0.4322,0.2298,,,0.11968290704578859,0.3442808556906763
dkd,isolated_label_asw,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dkd,isolated_label_f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dkd,kbet,0.3806,0.2482,,0.1687,0.949,0.9433,0,0.4251,0.4187,0.7526,0,0.1529,0.0946,0.7672,0.3209,0.0001,0.2521,0.235,0.2235,0.2538,0.4093,0.0113,0.9511,0.2174,,,0.14019371656250443,0.12359047418969638
dkd,nmi,0.829,0.8248,0.8228,0.8306,1,1,0.0315,0.8322,0.8233,0.8002,0.2288,0.7735,0.5322,0.7619,0.6992,0.2268,0.8646,0.7909,0.7877,0.8495,0.0013,0.015,0.761,0.7228,,,0.7372843233861127,0.13052638571148897
dkd,pcr,0.5339,0.5344,,0.9998,0.5898,0.5896,0,0.6805,0.6897,0.8142,0.6494,0,1,0.7925,0.9998,0.5585,0.6277,0.19,0.1773,0.6671,0.9975,0,0.7788,0,,,0.0,0.0
gtex_v9,ari,0.6342,,0.6331,0.5976,1,1,0.0561,0.6101,0.6272,0.4991,,0.6958,0.288,0.54,0.5312,0.0517,0.8327,0.6689,0.677,0.7046,-0.0001,0.0415,0.697,0.6864,,,0.6116612900546635,0.068594699506135
gtex_v9,asw_batch,0.8696,,,0.8584,0.984,0.9827,0.4056,0.8814,0.8795,0.7698,,0.8521,0.6947,0.7818,0.8226,0.9097,0.873,0.906,0.8628,0.8991,0.9496,0.8948,0.9323,0.9509,,,0.8244883418083191,0.9316392540931702
gtex_v9,asw_label,0.5052,,,0.5014,0.979,0.979,0.2598,0.4946,0.5,0.4379,,0.5134,0.4363,0.4636,0.4674,0.4457,0.6243,0.5136,0.5531,0.5367,0.4827,0.4489,0.5134,0.5241,,,0.4917965531349182,0.4687945693731308
gtex_v9,cell_cycle_conservation,0.8279,,,0.8044,0.6453,0.6441,0.3616,0.7507,0.7525,0.5948,,0.8202,0.8171,0.6675,0.5774,0.1637,0.7464,0.7409,0.6673,0.6278,0.1379,0.154,0.5617,0.6976,,,0.5781461751458715,0.507808533891113
gtex_v9,clisi,0.9981,,0.9412,0.9993,1,1,0.9645,0.9959,0.9975,0.9867,,0.9996,0.999,0.9836,0.9903,0.9249,1,0.9975,0.9988,0.9995,0.862,0.9106,0.9996,0.999,,,0.9997997080146793,0.9273896204839992
gtex_v9,graph_connectivity,0.8969,,0.9546,0.9436,1,1,0.081,0.8829,0.8815,0.6349,,0.9502,0.7334,0.639,0.7367,0.244,0.985,0.9051,0.9155,0.966,0.0526,0.1922,0.9512,0.9507,,,0.9694206978444984,0.44883152777326046
gtex_v9,hvg_overlap,,,,0.5255,,,,,,,,,,,0.241,0.2593,,,,,0.4995,1,0.6372,,,,,
gtex_v9,ilisi,0.0737,,0.2703,0.0129,0.116,0.1162,0,0.1194,0.0986,0.193,,0.0317,0.0005,0.2059,0.0704,0.0905,0.0586,0.0819,0.078,0.0497,0.3065,0.032,0.1237,0.0648,,,0.015514021184288011,0.23010457420899164
gtex_v9,isolated_label_asw,0.536,,,0.6147,0.979,0.979,0.4544,0.5958,0.5876,0.6283,,0.599,0.6479,0.6127,0.5733,0.4685,0.7019,0.5543,0.5948,0.6288,0.4836,0.4477,0.599,0.5215,,,0.5955427885055542,0.49012561049312353
gtex_v9,isolated_label_f1,0.018,,0.0142,0.1021,1,1,0.0802,0.0256,0.0737,0.0741,,0.0896,0.0888,0.0448,0.0137,0.0114,0.0908,0.0213,0.0164,0.1041,0.003,0.0075,0.0895,0.0242,,,0.09689714533609504,0.006375603707020023
