Gene stable ID	Pig gene stable ID	Pig homology type	Pig orthology confidence [0 low, 1 high]
ENSMUSG00000064345	ENSSSCG00000018069	ortholog_one2one	1
ENSMUSG00000064351	ENSSSCG00000018075	ortholog_one2one	1
ENSMUSG00000064354	ENSSSCG00000018078	ortholog_one2one	1
ENSMUSG00000064356	ENSSSCG00000018080	ortholog_one2one	1
ENSMUSG00000064358	ENSSSCG00000018082	ortholog_one2one	1
ENSMUSG00000064360	ENSSSCG00000018084	ortholog_one2one	1
ENSMUSG00000064363	ENSSSCG00000018087	ortholog_one2one	1
ENSMUSG00000064367	ENSSSCG00000018091	ortholog_one2one	1
ENSMUSG00000064368	ENSSSCG00000018092	ortholog_one2one	1
ENSMUSG00000001804	ENSSSCG00000020740	ortholog_one2one	1
ENSMUSG00000042514	ENSSSCG00000003733	ortholog_one2one	1
ENSMUSG00000024578	ENSSSCG00000014434	ortholog_one2one	1
ENSMUSG00000044982	ENSSSCG00000015860	ortholog_one2one	1
ENSMUSG00000024388	ENSSSCG00000015864	ortholog_one2one	1
ENSMUSG00000045991	ENSSSCG00000004540	ortholog_one2one	1
ENSMUSG00000065402	ENSSSCG00000019572	ortholog_one2one	1
ENSMUSG00000024519	ENSSSCG00000004909	ortholog_one2one	1
ENSMUSG00000051401	ENSSSCG00000032826	ortholog_one2one	1
ENSMUSG00000005864	ENSSSCG00000012753	ortholog_one2one	1
ENSMUSG00000042816	ENSSSCG00000014415	ortholog_one2one	1
ENSMUSG00000055561	ENSSSCG00000014422	ortholog_one2one	1
ENSMUSG00000031224	ENSSSCG00000062125	ortholog_one2one	1
ENSMUSG00000071855	ENSSSCG00000029866	ortholog_one2one	1
ENSMUSG00000024510	ENSSSCG00000014231	ortholog_one2one	1
ENSMUSG00000032818	ENSSSCG00000004503	ortholog_one2one	1
ENSMUSG00000091055	ENSSSCG00000004493	ortholog_one2one	1
ENSMUSG00000117781	ENSSSCG00000004874	ortholog_one2one	1
ENSMUSG00000056854	ENSSSCG00000012454	ortholog_one2one	1
ENSMUSG00000065510	ENSSSCG00000019895	ortholog_one2one	1
ENSMUSG00000007480	ENSSSCG00000028411	ortholog_one2one	1
ENSMUSG00000091519	ENSSSCG00000005767	ortholog_one2one	1
ENSMUSG00000065649	ENSSSCG00000018891	ortholog_one2one	1
ENSMUSG00000073600	ENSSSCG00000014347	ortholog_one2one	1
ENSMUSG00000047485	ENSSSCG00000033979	ortholog_one2one	1
ENSMUSG00000051209	ENSSSCG00000012661	ortholog_one2one	1
ENSMUSG00000045215	ENSSSCG00000003736	ortholog_one2one	1
ENSMUSG00000046269	ENSSSCG00000012305	ortholog_one2one	1
ENSMUSG00000031143	ENSSSCG00000012297	ortholog_one2one	1
ENSMUSG00000056281	ENSSSCG00000012666	ortholog_one2one	1
ENSMUSG00000051439	ENSSSCG00000014369	ortholog_one2one	1
ENSMUSG00000031303	ENSSSCG00000020735	ortholog_one2one	1
ENSMUSG00000051663	ENSSSCG00000014377	ortholog_one2one	1
ENSMUSG00000044043	ENSSSCG00000021414	ortholog_one2one	1
ENSMUSG00000047033	ENSSSCG00000036961	ortholog_one2one	1
ENSMUSG00000044022	ENSSSCG00000053239	ortholog_one2one	1
ENSMUSG00000042425	ENSSSCG00000012561	ortholog_one2one	1
ENSMUSG00000031273	ENSSSCG00000012571	ortholog_one2one	1
ENSMUSG00000054667	ENSSSCG00000031027	ortholog_one2one	1
ENSMUSG00000076011	ENSSSCG00000029520	ortholog_one2one	1
ENSMUSG00000071679	ENSSSCG00000012589	ortholog_one2one	1
ENSMUSG00000035045	ENSSSCG00000012367	ortholog_one2one	1
ENSMUSG00000051582	ENSSSCG00000012383	ortholog_one2one	1
ENSMUSG00000067597	ENSSSCG00000012381	ortholog_one2one	1
ENSMUSG00000044359	ENSSSCG00000012380	ortholog_one2one	1
ENSMUSG00000037358	ENSSSCG00000026984	ortholog_one2one	1
ENSMUSG00000049191	ENSSSCG00000020876	ortholog_one2one	1
ENSMUSG00000062393	ENSSSCG00000012308	ortholog_one2one	1
ENSMUSG00000031430	ENSSSCG00000059089	ortholog_one2one	1
ENSMUSG00000045179	ENSSSCG00000022501	ortholog_one2one	1
ENSMUSG00000082226	ENSSSCG00000053215	ortholog_one2one	1
ENSMUSG00000044400	ENSSSCG00000012618	ortholog_one2one	1
ENSMUSG00000050148	ENSSSCG00000035264	ortholog_one2one	1
ENSMUSG00000072964	ENSSSCG00000012520	ortholog_one2one	1
ENSMUSG00000031130	ENSSSCG00000058797	ortholog_one2one	1
ENSMUSG00000036357	ENSSSCG00000040432	ortholog_one2one	1
ENSMUSG00000090122	ENSSSCG00000056007	ortholog_one2one	1
ENSMUSG00000085584	ENSSSCG00000027981	ortholog_one2one	1
ENSMUSG00000037167	ENSSSCG00000012285	ortholog_one2one	1
ENSMUSG00000031150	ENSSSCG00000012288	ortholog_one2one	1
ENSMUSG00000009731	ENSSSCG00000028284	ortholog_one2one	1
ENSMUSG00000062564	ENSSSCG00000029513	ortholog_one2one	1
ENSMUSG00000041245	ENSSSCG00000012332	ortholog_one2one	1
ENSMUSG00000074922	ENSSSCG00000057474	ortholog_one2one	1
ENSMUSG00000051490	ENSSSCG00000041279	ortholog_one2one	1
ENSMUSG00000035283	ENSSSCG00000010647	ortholog_one2one	1
ENSMUSG00000025082	ENSSSCG00000010649	ortholog_one2one	1
ENSMUSG00000039330	ENSSSCG00000012964	ortholog_one2one	1
ENSMUSG00000024912	ENSSSCG00000012967	ortholog_one2one	1
ENSMUSG00000024922	ENSSSCG00000027361	ortholog_one2one	1
ENSMUSG00000043969	ENSSSCG00000032558	ortholog_one2one	1
ENSMUSG00000072437	ENSSSCG00000040025	ortholog_one2one	1
ENSMUSG00002075125	ENSSSCG00000018541	ortholog_one2one	1
ENSMUSG00000053536	ENSSSCG00000010430	ortholog_one2one	1
ENSMUSG00000024774	ENSSSCG00000010445	ortholog_one2one	1
ENSMUSG00000050370	ENSSSCG00000010449	ortholog_one2one	1
ENSMUSG00000024992	ENSSSCG00000010480	ortholog_one2one	1
